,PAIS,BANDEIRA,ENG_TEAM
1,Alemanha,https://s.sde.globo.com/media/organizations/2019/09/03/Alemanha.svg,Germany
2,Arabia Saudita,https://s.sde.globo.com/media/organizations/2019/09/05/Arábia_Saudita.svg,Saudi Arabia
3,Argentina,https://s.sde.globo.com/media/organizations/2019/07/15/Argentina.svg,Argentina
4,Australia,https://s.sde.globo.com/media/organizations/2019/09/02/Australia.svg,Australia
5,Belgica,https://s.sde.globo.com/media/organizations/2019/09/15/Bélgica.svg,Belgium
0,Brasil,https://s.sde.globo.com/media/organizations/2019/07/16/Brasil_rgYHF6Z.svg,Brazil
6,Camaroes,https://s.sde.globo.com/media/organizations/2019/09/10/Camarões.svg,Cameroon
7,Canada,https://s.sde.globo.com/media/organizations/2019/07/15/Canadá.svg,Canada
8,Catar,https://s.sde.globo.com/media/organizations/2019/09/06/Catar.svg,Qatar
9,Coreia do Sul,https://s.sde.globo.com/media/organizations/2019/09/01/Coreia_do_Sul.svg,South Korea
10,Costa Rica,https://s.sde.globo.com/media/organizations/2019/07/14/Costa_Rica.svg,Costa Rica
11,Croacia,https://s.sde.globo.com/media/organizations/2019/09/16/Croácia.svg,Croatia
12,Dinamarca,https://s.sde.globo.com/media/organizations/2019/09/16/Dinamarca.svg,Denmark
13,Equador,https://s.sde.globo.com/media/organizations/2019/07/15/Equador.svg,Ecuador
14,Espanha,https://s.sde.globo.com/media/organizations/2019/09/03/Espanha.svg,Spain
15,Estados Unidos,https://s.sde.globo.com/media/organizations/2019/07/16/Estados_Unidos.svg,United States
16,Franca,https://s.sde.globo.com/media/organizations/2019/09/03/França.svg,France
17,Gana,https://s.sde.globo.com/media/organizations/2019/09/08/Gana.svg,Ghana
18,Holanda,https://s.sde.globo.com/media/organizations/2019/09/16/Holanda.svg,Netherlands
19,Inglaterra,https://s.sde.globo.com/media/organizations/2019/09/13/Inglaterra.svg,England
20,Ira,https://s.sde.globo.com/media/organizations/2019/09/01/Irã.svg,Will
21,Japao,https://s.sde.globo.com/media/organizations/2019/09/03/Japao.svg,Japan
22,Marrocos,https://s.sde.globo.com/media/organizations/2019/09/10/Marrocos.svg,Morocco
23,Mexico,https://s.sde.globo.com/media/organizations/2019/07/15/México.svg,Mexico
24,Pais de Gales,https://s.sde.globo.com/media/organizations/2019/09/17/País_de_Gales.svg,Wales
25,Polonia,https://s.sde.globo.com/media/organizations/2019/09/02/Polonia_Rl0m1A5.svg,Poland
26,Portugal,https://s.sde.globo.com/media/organizations/2019/09/17/Portugal.svg,Portugal
27,Senegal,https://s.sde.globo.com/media/organizations/2019/09/03/Senegal.svg,Senegal
28,Servia,https://s.sde.globo.com/media/organizations/2019/09/02/Servia.svg,Serbia
29,Suica,https://s.sde.globo.com/media/organizations/2019/09/15/Suíça.svg,Switzerland
30,Tunisia,https://s.sde.globo.com/media/organizations/2018/03/10/tunisia.svg,Tunisia
31,Uruguai,https://s.sde.globo.com/media/organizations/2019/07/16/Uruguai.svg,Uruguay
